Instance, Time, BestCost
./instances/kroE100.tsp,9.25209,971266
./instances/kroE100.tsp,13.7411,971266
./instances/kroE100.tsp,9.25861,971266
./instances/kroE100.tsp,9.34004,971266
./instances/kroE100.tsp,8.26273,971266
./instances/kroE100.tsp,8.63535,971266
./instances/gr48.tsp,0.40788,102378
./instances/gr48.tsp,0.391588,102378
./instances/gr48.tsp,0.389013,102378
./instances/gr48.tsp,0.320463,102378
./instances/gr48.tsp,0.321222,102378
./instances/gr48.tsp,0.321478,102378
./instances/gr48.tsp,0.3253,102378
./instances/gr48.tsp,0.351227,102378
./instances/gr48.tsp,0.345946,102378
./instances/gr48.tsp,0.387632,102378
./instances/gr48.tsp,0.384007,102378
./instances/gr48.tsp,0.384911,102378
./instances/gr48.tsp,0.336487,102378
./instances/gr48.tsp,0.361211,102378
./instances/gr48.tsp,0.407371,102378
./instances/gr48.tsp,0.394818,102378
./instances/gr48.tsp,0.401723,102378
./instances/gr48.tsp,0.294699,102378
./instances/gr48.tsp,0.273674,102378
./instances/gr48.tsp,0.304459,102378
./instances/pr76.tsp,3.02225,3.45524e+06
./instances/pr76.tsp,3.03368,3.45524e+06
./instances/pr76.tsp,3.23364,3.45524e+06
./instances/pr76.tsp,3.03102,3.45524e+06
./instances/pr76.tsp,2.59753,3.45524e+06
./instances/pr76.tsp,2.88064,3.45524e+06
./instances/pr76.tsp,3.69305,3.45524e+06
./instances/pr76.tsp,2.07566,3.45524e+06
./instances/pr76.tsp,2.54133,3.45524e+06
./instances/pr76.tsp,2.87719,3.45524e+06
./instances/pr76.tsp,2.83542,3.45524e+06
./instances/pr76.tsp,3.23409,3.45524e+06
./instances/pr76.tsp,3.06402,3.45524e+06
./instances/pr76.tsp,3.22735,3.45524e+06
./instances/pr76.tsp,2.59631,3.45524e+06
./instances/pr76.tsp,2.86497,3.45524e+06
./instances/pr76.tsp,2.45167,3.46171e+06
./instances/pr76.tsp,2.84443,3.45524e+06
./instances/pr76.tsp,2.24787,3.45524e+06
./instances/pr76.tsp,2.79089,3.45524e+06
./instances/eil101.tsp,11.4579,27747
./instances/eil101.tsp,9.89383,27619
./instances/eil101.tsp,9.46124,27574
./instances/eil101.tsp,12.4565,27570
./instances/eil101.tsp,13.0982,27655
./instances/eil101.tsp,10.3566,27513
./instances/eil101.tsp,10.1778,27513
./instances/eil101.tsp,11.6572,27693
./instances/eil101.tsp,12.4792,27615
./instances/eil101.tsp,11.5056,27519
./instances/eil101.tsp,9.78211,27692
./instances/eil101.tsp,9.76417,27681
./instances/eil101.tsp,12.4772,27513
./instances/eil101.tsp,14.6516,27593
./instances/eil101.tsp,10.7306,27519
./instances/eil101.tsp,11.8036,27626
./instances/eil101.tsp,11.6718,27671
./instances/eil101.tsp,11.4742,27749
./instances/eil101.tsp,13.5923,27780
./instances/eil101.tsp,11.8217,27657
